timestamp,asset_id,hydraulic_pressure,beam_position_error,oil_temperature,cylinder_drift
2026-04-01 00:00,RHF-WBD-03,167.57,1.39,45.04,1.5
2026-04-01 01:00,RHF-WBD-03,170.87,0.47,44.47,1.37
2026-04-01 02:00,RHF-WBD-03,173.5,1.81,47.09,1.57
2026-04-01 03:00,RHF-WBD-03,174.56,-0.21,49.61,1.64
2026-04-01 04:00,RHF-WBD-03,170.4,1.95,48.6,1.78
2026-04-01 05:00,RHF-WBD-03,176.99,2.37,47.55,1.77
2026-04-01 06:00,RHF-WBD-03,176.55,0.68,49.29,1.92
2026-04-01 07:00,RHF-WBD-03,182.33,2.41,48.36,1.97
2026-04-01 08:00,RHF-WBD-03,164.49,0.59,48.04,1.76
2026-04-01 09:00,RHF-WBD-03,170.71,1.27,48.89,1.86
2026-04-01 10:00,RHF-WBD-03,175.19,0.34,48.88,1.87
2026-04-01 11:00,RHF-WBD-03,163.89,0.38,47.01,1.29
2026-04-01 12:00,RHF-WBD-03,162.89,-0.02,47.61,1.58
2026-04-01 13:00,RHF-WBD-03,159.49,-0.49,45.37,1.56
2026-04-01 14:00,RHF-WBD-03,157.24,-0.42,42.61,1.48
2026-04-01 15:00,RHF-WBD-03,160.11,-1.91,43.5,1.21
2026-04-01 16:00,RHF-WBD-03,151.11,-1.56,45.86,0.93
2026-04-01 17:00,RHF-WBD-03,156.1,-1.66,42.62,1.19
2026-04-01 18:00,RHF-WBD-03,149.71,-2.7,43.31,1.13
2026-04-01 19:00,RHF-WBD-03,160.11,-1.41,45.51,1.45
2026-04-01 20:00,RHF-WBD-03,160.23,-2.35,45.39,1.23
2026-04-01 21:00,RHF-WBD-03,159.86,-1.37,43.47,1.3
2026-04-01 22:00,RHF-WBD-03,152.7,-0.71,43.27,1.32
2026-04-01 23:00,RHF-WBD-03,157.22,-0.14,45.3,1.41
2026-04-02 00:00,RHF-WBD-03,166.12,-1.26,46.38,1.58
2026-04-02 01:00,RHF-WBD-03,165.53,-0.18,47.53,1.48
2026-04-02 02:00,RHF-WBD-03,161.58,1.37,47.57,1.89
2026-04-02 03:00,RHF-WBD-03,176.94,3.14,49.05,1.9
2026-04-02 04:00,RHF-WBD-03,164.7,1.3,49.58,1.88
2026-04-02 05:00,RHF-WBD-03,174.88,0.84,49.16,1.75
2026-04-02 06:00,RHF-WBD-03,173.09,1.65,48.85,1.8
2026-04-02 07:00,RHF-WBD-03,177.58,0.67,52.45,2.18
2026-04-02 08:00,RHF-WBD-03,168.16,0.28,49.26,2.01
2026-04-02 09:00,RHF-WBD-03,179.63,1.65,49.21,1.57
2026-04-02 10:00,RHF-WBD-03,172.81,0.42,50.87,1.66
2026-04-02 11:00,RHF-WBD-03,165.29,-1.23,44.51,1.75
2026-04-02 12:00,RHF-WBD-03,163.95,-0.67,46.16,1.44
2026-04-02 13:00,RHF-WBD-03,162.07,-1.17,46.36,1.34
2026-04-02 14:00,RHF-WBD-03,160.76,0.04,44.04,1.25
2026-04-02 15:00,RHF-WBD-03,154.35,-1.8,44.36,1.36
2026-04-02 16:00,RHF-WBD-03,158.27,-1.94,44.38,1.0
2026-04-02 17:00,RHF-WBD-03,149.16,-0.58,45.73,1.43
2026-04-02 18:00,RHF-WBD-03,153.33,-2.0,42.39,1.06
2026-04-02 19:00,RHF-WBD-03,147.48,-1.93,43.88,0.94
2026-04-02 20:00,RHF-WBD-03,158.7,-2.23,43.38,1.31
2026-04-02 21:00,RHF-WBD-03,160.69,-1.5,42.95,1.17
2026-04-02 22:00,RHF-WBD-03,164.77,-0.73,45.56,1.06
2026-04-02 23:00,RHF-WBD-03,163.99,-1.22,46.53,1.29
2026-04-03 00:00,RHF-WBD-03,163.2,-0.2,45.14,1.73
2026-04-03 01:00,RHF-WBD-03,160.18,-0.27,47.02,1.32
2026-04-03 02:00,RHF-WBD-03,172.61,0.29,47.78,1.78
2026-04-03 03:00,RHF-WBD-03,173.68,1.93,50.45,2.04
2026-04-03 04:00,RHF-WBD-03,171.03,1.07,48.15,1.64
2026-04-03 05:00,RHF-WBD-03,169.67,1.76,48.31,1.84
2026-04-03 06:00,RHF-WBD-03,170.19,1.99,48.96,1.77
2026-04-03 07:00,RHF-WBD-03,177.34,1.92,49.3,1.94
2026-04-03 08:00,RHF-WBD-03,173.56,2.43,49.73,2.06
2026-04-03 09:00,RHF-WBD-03,173.3,2.57,50.38,1.93
2026-04-03 10:00,RHF-WBD-03,173.23,1.0,47.01,2.01
2026-04-03 11:00,RHF-WBD-03,169.27,0.37,46.93,1.49
2026-04-03 12:00,RHF-WBD-03,165.66,0.6,46.87,1.6
2026-04-03 13:00,RHF-WBD-03,158.14,-0.68,45.03,1.45
2026-04-03 14:00,RHF-WBD-03,152.34,-0.48,44.42,1.23
2026-04-03 15:00,RHF-WBD-03,159.72,-1.99,41.76,1.15
2026-04-03 16:00,RHF-WBD-03,152.63,-2.32,42.06,1.14
2026-04-03 17:00,RHF-WBD-03,153.51,-1.43,46.24,0.67
2026-04-03 18:00,RHF-WBD-03,152.24,-1.18,44.96,1.11
2026-04-03 19:00,RHF-WBD-03,151.34,-1.7,42.28,1.41
2026-04-03 20:00,RHF-WBD-03,166.35,0.1,44.91,0.93
2026-04-03 21:00,RHF-WBD-03,154.66,-1.3,44.06,1.06
2026-04-03 22:00,RHF-WBD-03,158.4,-0.88,44.26,1.47
2026-04-03 23:00,RHF-WBD-03,157.94,-0.91,44.08,1.43
2026-04-04 00:00,RHF-WBD-03,163.74,0.51,48.22,1.39
2026-04-04 01:00,RHF-WBD-03,159.7,2.33,47.15,1.57
2026-04-04 02:00,RHF-WBD-03,177.0,0.61,48.6,1.82
2026-04-04 03:00,RHF-WBD-03,169.66,1.44,49.7,1.65
2026-04-04 04:00,RHF-WBD-03,175.48,2.58,48.22,1.84
2026-04-04 05:00,RHF-WBD-03,179.34,1.0,50.39,1.94
2026-04-04 06:00,RHF-WBD-03,176.01,2.99,49.83,1.77
2026-04-04 07:00,RHF-WBD-03,182.12,2.32,48.88,1.88
2026-04-04 08:00,RHF-WBD-03,176.02,2.0,47.71,1.77
2026-04-04 09:00,RHF-WBD-03,175.81,2.22,49.13,1.53
2026-04-04 10:00,RHF-WBD-03,165.4,1.59,48.15,1.71
2026-04-04 11:00,RHF-WBD-03,171.55,0.8,48.81,1.69
2026-04-04 12:00,RHF-WBD-03,176.48,-1.25,46.48,1.53
2026-04-04 13:00,RHF-WBD-03,164.88,1.05,46.16,1.3
2026-04-04 14:00,RHF-WBD-03,162.19,-1.25,47.37,1.21
2026-04-04 15:00,RHF-WBD-03,147.16,-1.85,43.69,1.39
2026-04-04 16:00,RHF-WBD-03,157.81,-1.87,42.13,1.22
2026-04-04 17:00,RHF-WBD-03,144.18,-1.91,42.93,1.38
2026-04-04 18:00,RHF-WBD-03,159.4,-1.44,44.01,1.15
2026-04-04 19:00,RHF-WBD-03,154.03,-1.16,44.25,1.31
2026-04-04 20:00,RHF-WBD-03,160.92,-2.44,44.06,1.17
2026-04-04 21:00,RHF-WBD-03,153.71,-1.25,44.86,1.23
2026-04-04 22:00,RHF-WBD-03,154.06,-0.75,45.55,1.24
2026-04-04 23:00,RHF-WBD-03,155.03,-0.46,45.22,1.24
2026-04-05 00:00,RHF-WBD-03,166.55,-0.66,46.65,1.46
2026-04-05 01:00,RHF-WBD-03,171.29,0.8,48.92,1.62
2026-04-05 02:00,RHF-WBD-03,166.5,0.48,50.26,1.85
2026-04-05 03:00,RHF-WBD-03,178.51,0.96,48.86,1.78
2026-04-05 04:00,RHF-WBD-03,175.6,2.49,49.6,1.78
2026-04-05 05:00,RHF-WBD-03,181.13,2.32,47.96,1.68
2026-04-05 06:00,RHF-WBD-03,182.51,2.89,48.44,1.72
2026-04-05 07:00,RHF-WBD-03,179.06,3.12,48.95,1.78
2026-04-05 08:00,RHF-WBD-03,165.82,1.35,51.23,1.86
2026-04-05 09:00,RHF-WBD-03,171.01,0.8,48.15,1.68
2026-04-05 10:00,RHF-WBD-03,173.08,0.74,49.06,1.74
2026-04-05 11:00,RHF-WBD-03,167.79,-1.14,50.29,1.6
2026-04-05 12:00,RHF-WBD-03,167.36,-0.12,47.97,1.22
2026-04-05 13:00,RHF-WBD-03,164.79,-2.32,46.24,1.53
2026-04-05 14:00,RHF-WBD-03,161.17,-0.83,45.35,1.2
2026-04-05 15:00,RHF-WBD-03,160.1,-2.44,44.52,1.36
2026-04-05 16:00,RHF-WBD-03,158.74,-2.17,43.9,1.18
2026-04-05 17:00,RHF-WBD-03,148.9,-2.13,44.66,1.53
2026-04-05 18:00,RHF-WBD-03,156.87,-0.61,46.03,1.09
2026-04-05 19:00,RHF-WBD-03,156.06,-1.54,44.09,0.96
2026-04-05 20:00,RHF-WBD-03,157.98,-1.25,44.07,1.47
2026-04-05 21:00,RHF-WBD-03,165.59,-1.84,45.03,1.37
2026-04-05 22:00,RHF-WBD-03,158.19,-1.26,45.62,1.18
2026-04-05 23:00,RHF-WBD-03,162.47,-0.35,46.23,1.49
2026-04-06 00:00,RHF-WBD-03,160.63,-0.31,46.7,1.37
2026-04-06 01:00,RHF-WBD-03,175.07,1.76,47.57,1.65
2026-04-06 02:00,RHF-WBD-03,170.18,2.27,47.59,1.77
2026-04-06 03:00,RHF-WBD-03,173.77,1.91,48.02,1.73
2026-04-06 04:00,RHF-WBD-03,178.05,1.95,49.58,1.76
2026-04-06 05:00,RHF-WBD-03,183.99,3.27,49.92,1.7
2026-04-06 06:00,RHF-WBD-03,182.53,1.32,48.63,1.82
2026-04-06 07:00,RHF-WBD-03,177.23,2.44,48.68,1.86
2026-04-06 08:00,RHF-WBD-03,162.74,2.27,48.0,2.04
