timestamp,asset_id,vibration,bearing_temperature,motor_current,inlet_pressure
2026-04-01 00:00,SP-IDF-01,3.28,58.51,332.37,-964.09
2026-04-01 01:00,SP-IDF-01,3.16,57.09,335.86,-964.17
2026-04-01 02:00,SP-IDF-01,3.71,62.15,345.91,-911.26
2026-04-01 03:00,SP-IDF-01,3.73,60.39,397.47,-884.05
2026-04-01 04:00,SP-IDF-01,3.97,65.9,377.86,-881.72
2026-04-01 05:00,SP-IDF-01,4.19,67.74,351.31,-921.37
2026-04-01 06:00,SP-IDF-01,3.9,66.0,365.76,-894.94
2026-04-01 07:00,SP-IDF-01,4.01,61.45,353.23,-914.91
2026-04-01 08:00,SP-IDF-01,3.96,62.72,399.9,-895.0
2026-04-01 09:00,SP-IDF-01,3.96,60.99,373.97,-908.61
2026-04-01 10:00,SP-IDF-01,3.76,61.86,356.05,-901.24
2026-04-01 11:00,SP-IDF-01,3.59,60.62,360.69,-904.19
2026-04-01 12:00,SP-IDF-01,3.24,60.97,347.71,-931.87
2026-04-01 13:00,SP-IDF-01,2.9,60.46,346.26,-997.85
2026-04-01 14:00,SP-IDF-01,3.71,58.24,322.45,-981.27
2026-04-01 15:00,SP-IDF-01,2.78,57.97,322.24,-974.33
2026-04-01 16:00,SP-IDF-01,2.78,56.02,315.8,-999.19
2026-04-01 17:00,SP-IDF-01,2.5,56.19,309.34,-1056.8
2026-04-01 18:00,SP-IDF-01,3.25,59.17,306.97,-1004.15
2026-04-01 19:00,SP-IDF-01,3.26,55.89,310.44,-1028.29
2026-04-01 20:00,SP-IDF-01,2.85,55.73,318.32,-1011.59
2026-04-01 21:00,SP-IDF-01,2.98,60.0,282.49,-969.86
2026-04-01 22:00,SP-IDF-01,3.02,56.45,310.19,-984.4
2026-04-01 23:00,SP-IDF-01,2.82,59.07,346.24,-949.59
2026-04-02 00:00,SP-IDF-01,3.4,59.88,305.86,-943.8
2026-04-02 01:00,SP-IDF-01,3.46,60.07,362.08,-878.82
2026-04-02 02:00,SP-IDF-01,3.97,64.25,381.62,-870.95
2026-04-02 03:00,SP-IDF-01,3.64,66.87,368.85,-946.08
2026-04-02 04:00,SP-IDF-01,4.03,61.15,378.1,-949.84
2026-04-02 05:00,SP-IDF-01,4.05,66.27,369.87,-860.09
2026-04-02 06:00,SP-IDF-01,4.02,65.65,379.58,-862.09
2026-04-02 07:00,SP-IDF-01,4.11,59.78,361.06,-868.97
2026-04-02 08:00,SP-IDF-01,4.86,64.17,369.44,-895.61
2026-04-02 09:00,SP-IDF-01,4.02,61.59,354.5,-937.02
2026-04-02 10:00,SP-IDF-01,4.17,61.03,377.92,-902.28
2026-04-02 11:00,SP-IDF-01,3.4,62.41,353.07,-936.39
2026-04-02 12:00,SP-IDF-01,3.84,57.5,359.29,-931.58
2026-04-02 13:00,SP-IDF-01,3.29,61.69,334.41,-984.52
2026-04-02 14:00,SP-IDF-01,2.58,56.57,308.04,-998.7
2026-04-02 15:00,SP-IDF-01,2.77,58.59,311.58,-1011.31
2026-04-02 16:00,SP-IDF-01,2.79,59.36,300.52,-944.81
2026-04-02 17:00,SP-IDF-01,3.0,56.93,311.75,-1009.1
2026-04-02 18:00,SP-IDF-01,2.67,54.34,310.33,-1034.23
2026-04-02 19:00,SP-IDF-01,2.74,56.89,322.89,-1021.2
2026-04-02 20:00,SP-IDF-01,3.2,58.81,311.05,-977.79
2026-04-02 21:00,SP-IDF-01,3.07,56.49,324.42,-1010.34
2026-04-02 22:00,SP-IDF-01,3.18,63.63,304.48,-952.79
2026-04-02 23:00,SP-IDF-01,3.43,57.11,326.87,-952.08
2026-04-03 00:00,SP-IDF-01,3.79,61.2,339.38,-974.46
2026-04-03 01:00,SP-IDF-01,4.0,59.86,367.42,-948.32
2026-04-03 02:00,SP-IDF-01,3.92,61.91,370.56,-912.0
2026-04-03 03:00,SP-IDF-01,4.28,64.26,371.93,-913.92
2026-04-03 04:00,SP-IDF-01,3.83,68.07,378.68,-905.95
2026-04-03 05:00,SP-IDF-01,3.93,63.03,369.97,-901.03
2026-04-03 06:00,SP-IDF-01,4.18,63.82,348.9,-924.88
2026-04-03 07:00,SP-IDF-01,4.49,64.88,350.48,-887.84
2026-04-03 08:00,SP-IDF-01,4.4,63.65,388.58,-905.27
2026-04-03 09:00,SP-IDF-01,4.09,65.31,387.92,-898.92
2026-04-03 10:00,SP-IDF-01,3.27,63.48,361.73,-860.85
2026-04-03 11:00,SP-IDF-01,3.37,60.17,344.56,-918.36
2026-04-03 12:00,SP-IDF-01,3.53,61.27,349.47,-934.99
2026-04-03 13:00,SP-IDF-01,2.96,55.38,338.53,-958.11
2026-04-03 14:00,SP-IDF-01,3.12,55.63,310.56,-937.8
2026-04-03 15:00,SP-IDF-01,2.89,54.54,300.45,-992.52
2026-04-03 16:00,SP-IDF-01,2.59,56.91,310.07,-1033.57
2026-04-03 17:00,SP-IDF-01,2.92,53.99,327.24,-1039.95
2026-04-03 18:00,SP-IDF-01,2.88,54.62,308.22,-1066.52
2026-04-03 19:00,SP-IDF-01,2.98,54.39,313.2,-1019.31
2026-04-03 20:00,SP-IDF-01,3.01,53.25,312.64,-986.42
2026-04-03 21:00,SP-IDF-01,3.31,55.61,309.93,-998.95
2026-04-03 22:00,SP-IDF-01,3.15,59.91,326.31,-986.87
2026-04-03 23:00,SP-IDF-01,3.26,62.08,344.7,-973.77
2026-04-04 00:00,SP-IDF-01,3.97,59.02,336.77,-943.61
2026-04-04 01:00,SP-IDF-01,4.14,59.61,361.57,-902.47
2026-04-04 02:00,SP-IDF-01,3.27,65.32,361.59,-929.02
2026-04-04 03:00,SP-IDF-01,3.71,68.18,360.25,-923.34
2026-04-04 04:00,SP-IDF-01,3.96,65.0,360.81,-894.24
2026-04-04 05:00,SP-IDF-01,4.18,64.69,375.57,-913.14
2026-04-04 06:00,SP-IDF-01,4.01,65.87,379.95,-845.28
2026-04-04 07:00,SP-IDF-01,3.63,64.1,384.21,-907.69
2026-04-04 08:00,SP-IDF-01,4.07,65.4,362.36,-897.76
2026-04-04 09:00,SP-IDF-01,3.85,61.75,371.45,-901.31
2026-04-04 10:00,SP-IDF-01,3.7,64.56,350.0,-939.33
2026-04-04 11:00,SP-IDF-01,3.33,59.36,345.46,-912.6
2026-04-04 12:00,SP-IDF-01,3.31,58.85,362.76,-986.14
2026-04-04 13:00,SP-IDF-01,3.48,59.57,321.51,-912.03
2026-04-04 14:00,SP-IDF-01,3.04,56.69,287.23,-1034.45
2026-04-04 15:00,SP-IDF-01,2.75,57.11,305.59,-1015.75
2026-04-04 16:00,SP-IDF-01,2.88,54.57,307.24,-1020.1
2026-04-04 17:00,SP-IDF-01,3.26,54.89,335.22,-992.99
2026-04-04 18:00,SP-IDF-01,3.18,57.9,312.27,-1017.38
2026-04-04 19:00,SP-IDF-01,2.83,54.53,297.72,-1026.6
2026-04-04 20:00,SP-IDF-01,2.6,57.76,317.58,-1029.3
2026-04-04 21:00,SP-IDF-01,3.04,55.26,300.67,-991.78
2026-04-04 22:00,SP-IDF-01,3.57,58.61,327.68,-989.78
2026-04-04 23:00,SP-IDF-01,3.34,59.18,329.46,-905.48
2026-04-05 00:00,SP-IDF-01,3.53,59.96,319.14,-951.19
2026-04-05 01:00,SP-IDF-01,3.59,61.53,352.04,-923.09
2026-04-05 02:00,SP-IDF-01,3.97,61.9,332.66,-944.02
2026-04-05 03:00,SP-IDF-01,3.81,64.06,351.9,-906.36
2026-04-05 04:00,SP-IDF-01,4.1,66.24,379.46,-914.82
