timestamp,asset_id,hoist_motor_current,rope_tension,brake_temperature,lance_cooling_flow
2026-04-01 00:00,BOF-LH-03,137.96,47.21,52.13,163.97
2026-04-01 01:00,BOF-LH-03,122.12,54.93,55.49,160.17
2026-04-01 02:00,BOF-LH-03,153.57,59.05,56.89,167.57
2026-04-01 03:00,BOF-LH-03,132.83,51.99,57.62,168.99
2026-04-01 04:00,BOF-LH-03,147.52,52.06,54.79,171.67
2026-04-01 05:00,BOF-LH-03,136.91,58.98,55.84,168.17
2026-04-01 06:00,BOF-LH-03,136.58,56.37,55.09,177.16
2026-04-01 07:00,BOF-LH-03,145.44,54.56,59.32,176.24
2026-04-01 08:00,BOF-LH-03,135.61,51.89,56.46,168.37
2026-04-01 09:00,BOF-LH-03,139.8,55.33,58.11,166.37
2026-04-01 10:00,BOF-LH-03,139.56,51.79,51.06,163.7
2026-04-01 11:00,BOF-LH-03,127.2,54.51,57.59,160.49
2026-04-01 12:00,BOF-LH-03,129.27,47.07,53.78,167.85
2026-04-01 13:00,BOF-LH-03,133.21,48.96,52.48,152.63
2026-04-01 14:00,BOF-LH-03,129.92,40.2,49.0,149.38
2026-04-01 15:00,BOF-LH-03,120.37,44.11,47.89,155.17
2026-04-01 16:00,BOF-LH-03,126.55,44.58,46.27,150.23
2026-04-01 17:00,BOF-LH-03,111.11,41.78,49.2,152.0
2026-04-01 18:00,BOF-LH-03,101.45,44.89,46.98,149.07
2026-04-01 19:00,BOF-LH-03,116.62,46.26,49.82,147.23
2026-04-01 20:00,BOF-LH-03,118.14,40.61,47.33,154.18
2026-04-01 21:00,BOF-LH-03,129.57,41.3,49.29,153.34
2026-04-01 22:00,BOF-LH-03,125.74,47.96,52.03,149.8
2026-04-01 23:00,BOF-LH-03,126.65,50.59,49.3,150.33
2026-04-02 00:00,BOF-LH-03,137.87,49.67,53.39,161.64
2026-04-02 01:00,BOF-LH-03,135.72,51.84,56.11,164.88
2026-04-02 02:00,BOF-LH-03,144.38,55.09,52.97,162.22
2026-04-02 03:00,BOF-LH-03,130.59,58.21,55.52,167.0
2026-04-02 04:00,BOF-LH-03,152.07,56.57,55.43,167.12
2026-04-02 05:00,BOF-LH-03,138.96,53.6,55.36,174.91
2026-04-02 06:00,BOF-LH-03,143.58,51.98,54.95,165.93
