timestamp,asset_id,winding_temperature,vibration_de,vibration_nde,bearing_temperature,motor_current
2026-04-01 00:00,HSM-M-05,85.27,2.82,2.85,66.23,1222.62
2026-04-01 01:00,HSM-M-05,89.06,2.77,2.97,65.92,1235.05
2026-04-01 02:00,HSM-M-05,90.06,2.85,2.81,68.11,1202.05
2026-04-01 03:00,HSM-M-05,89.9,3.08,3.16,68.8,1273.26
2026-04-01 04:00,HSM-M-05,92.85,3.02,3.13,69.17,1279.04
2026-04-01 05:00,HSM-M-05,91.77,3.58,2.83,67.42,1303.05
2026-04-01 06:00,HSM-M-05,86.84,2.88,3.18,70.63,1242.6
2026-04-01 07:00,HSM-M-05,93.48,3.16,2.77,70.79,1260.46
2026-04-01 08:00,HSM-M-05,94.11,3.09,3.28,70.08,1329.48
2026-04-01 09:00,HSM-M-05,89.14,2.8,3.24,69.39,1299.26
2026-04-01 10:00,HSM-M-05,85.74,3.14,2.95,66.66,1273.86
2026-04-01 11:00,HSM-M-05,87.49,2.88,2.49,67.93,1152.55
2026-04-01 12:00,HSM-M-05,87.2,2.73,2.6,68.08,1194.34
2026-04-01 13:00,HSM-M-05,87.75,2.55,2.71,63.9,1149.17
2026-04-01 14:00,HSM-M-05,83.5,2.55,2.68,60.68,1163.27
2026-04-01 15:00,HSM-M-05,78.59,2.32,2.03,59.81,1108.77
2026-04-01 16:00,HSM-M-05,83.3,2.46,2.54,58.13,1094.46
2026-04-01 17:00,HSM-M-05,76.2,2.34,2.12,61.1,1107.72
2026-04-01 18:00,HSM-M-05,77.7,2.22,2.72,59.44,1069.38
2026-04-01 19:00,HSM-M-05,78.64,2.58,2.52,56.8,1158.94
2026-04-01 20:00,HSM-M-05,83.24,2.13,2.1,58.07,1149.34
2026-04-01 21:00,HSM-M-05,84.03,2.16,2.22,59.0,1093.21
2026-04-01 22:00,HSM-M-05,80.23,2.93,2.63,63.01,1158.18
2026-04-01 23:00,HSM-M-05,81.45,2.73,2.51,65.04,1126.47
2026-04-02 00:00,HSM-M-05,80.39,2.53,2.59,65.28,1140.59
2026-04-02 01:00,HSM-M-05,89.79,2.87,2.66,66.93,1220.7
2026-04-02 02:00,HSM-M-05,84.35,2.65,2.77,70.75,1292.69
2026-04-02 03:00,HSM-M-05,89.0,3.3,3.18,71.26,1315.3
2026-04-02 04:00,HSM-M-05,90.01,3.25,2.93,69.54,1253.0
2026-04-02 05:00,HSM-M-05,93.02,3.02,3.35,69.36,1271.43
2026-04-02 06:00,HSM-M-05,95.51,3.5,3.16,72.69,1255.44
2026-04-02 07:00,HSM-M-05,91.4,3.01,3.07,68.79,1335.22
2026-04-02 08:00,HSM-M-05,94.93,3.09,3.36,69.84,1256.45
2026-04-02 09:00,HSM-M-05,92.63,3.25,2.96,66.37,1227.67
2026-04-02 10:00,HSM-M-05,89.5,2.9,3.16,66.4,1211.85
2026-04-02 11:00,HSM-M-05,88.94,2.75,2.94,68.47,1267.24
2026-04-02 12:00,HSM-M-05,83.5,2.84,2.57,64.4,1078.48
2026-04-02 13:00,HSM-M-05,83.09,2.36,2.86,61.44,1168.58
2026-04-02 14:00,HSM-M-05,79.01,2.64,2.91,64.86,1194.21
2026-04-02 15:00,HSM-M-05,83.25,2.42,2.48,61.02,1074.1
2026-04-02 16:00,HSM-M-05,76.65,2.2,2.4,59.17,1105.42
2026-04-02 17:00,HSM-M-05,81.68,2.17,2.38,59.71,1167.15
2026-04-02 18:00,HSM-M-05,76.19,2.33,2.46,60.67,1043.91
2026-04-02 19:00,HSM-M-05,79.86,2.19,2.28,61.82,1115.21
2026-04-02 20:00,HSM-M-05,82.49,2.5,2.06,57.7,1109.83
2026-04-02 21:00,HSM-M-05,80.79,2.34,2.47,57.61,1099.39
2026-04-02 22:00,HSM-M-05,82.22,2.71,2.76,61.65,1214.91
2026-04-02 23:00,HSM-M-05,86.97,2.4,2.54,61.47,1164.15
2026-04-03 00:00,HSM-M-05,88.99,2.75,2.7,65.74,1146.88
2026-04-03 01:00,HSM-M-05,84.91,2.93,3.17,62.27,1142.33
2026-04-03 02:00,HSM-M-05,83.34,3.23,3.18,63.56,1295.62
2026-04-03 03:00,HSM-M-05,89.42,3.1,2.76,69.88,1202.43
2026-04-03 04:00,HSM-M-05,96.37,3.4,3.14,68.6,1253.07
2026-04-03 05:00,HSM-M-05,92.5,3.14,2.89,71.05,1263.42
2026-04-03 06:00,HSM-M-05,89.75,3.26,3.22,72.54,1313.01
2026-04-03 07:00,HSM-M-05,94.02,3.19,3.59,72.07,1352.52
2026-04-03 08:00,HSM-M-05,93.02,3.32,2.99,67.95,1316.7
2026-04-03 09:00,HSM-M-05,89.74,2.81,3.25,68.15,1316.24
2026-04-03 10:00,HSM-M-05,90.25,3.0,2.86,68.48,1279.06
