timestamp,asset_id,winding_temperature,vibration_de,vibration_nde,bearing_temperature,motor_current
2026-04-01 00:00,HSM-M-03,79.34,2.87,2.56,67.02,1180.79
2026-04-01 01:00,HSM-M-03,87.65,3.12,2.92,68.94,1274.48
2026-04-01 02:00,HSM-M-03,88.33,2.78,2.86,68.09,1267.6
2026-04-01 03:00,HSM-M-03,91.53,3.13,2.84,67.45,1279.51
2026-04-01 04:00,HSM-M-03,90.16,3.29,3.21,69.24,1318.76
2026-04-01 05:00,HSM-M-03,88.05,3.0,3.37,68.97,1280.8
2026-04-01 06:00,HSM-M-03,93.25,3.05,3.38,72.05,1280.12
2026-04-01 07:00,HSM-M-03,94.28,3.27,3.0,67.03,1296.9
2026-04-01 08:00,HSM-M-03,92.36,3.43,2.85,71.23,1245.79
2026-04-01 09:00,HSM-M-03,87.88,2.87,3.18,65.75,1257.86
2026-04-01 10:00,HSM-M-03,84.14,2.88,3.26,68.23,1219.92
2026-04-01 11:00,HSM-M-03,89.46,2.91,3.02,62.5,1298.52
2026-04-01 12:00,HSM-M-03,87.99,2.5,2.82,63.54,1214.41
2026-04-01 13:00,HSM-M-03,87.14,2.75,2.96,63.09,1256.17
2026-04-01 14:00,HSM-M-03,84.21,2.59,2.63,64.13,1108.01
2026-04-01 15:00,HSM-M-03,80.7,2.55,2.1,58.45,1088.59
2026-04-01 16:00,HSM-M-03,80.81,2.1,2.12,60.34,1071.2
2026-04-01 17:00,HSM-M-03,81.22,2.43,2.1,63.43,1092.02
2026-04-01 18:00,HSM-M-03,75.95,2.59,2.36,58.62,1152.87
2026-04-01 19:00,HSM-M-03,74.63,2.49,2.14,59.95,1082.78
2026-04-01 20:00,HSM-M-03,81.94,2.4,2.27,61.1,1082.65
2026-04-01 21:00,HSM-M-03,78.02,2.39,2.77,59.47,1123.18
2026-04-01 22:00,HSM-M-03,84.46,2.36,2.51,66.59,1155.89
2026-04-01 23:00,HSM-M-03,87.89,2.51,2.82,66.92,1149.51
2026-04-02 00:00,HSM-M-03,84.7,2.75,2.77,66.38,1195.02
2026-04-02 01:00,HSM-M-03,84.23,2.77,2.93,66.11,1205.9
2026-04-02 02:00,HSM-M-03,86.09,3.06,3.18,67.13,1239.4
2026-04-02 03:00,HSM-M-03,87.52,3.1,2.86,67.88,1274.18
2026-04-02 04:00,HSM-M-03,91.07,3.0,2.96,71.9,1267.76
2026-04-02 05:00,HSM-M-03,92.06,3.31,3.16,70.75,1300.01
2026-04-02 06:00,HSM-M-03,92.91,2.85,3.01,71.32,1329.9
2026-04-02 07:00,HSM-M-03,89.03,3.07,3.11,73.35,1239.01
2026-04-02 08:00,HSM-M-03,86.88,3.18,3.08,75.03,1307.3
2026-04-02 09:00,HSM-M-03,84.2,3.25,2.84,68.59,1348.72
2026-04-02 10:00,HSM-M-03,93.28,2.86,3.07,70.8,1227.06
2026-04-02 11:00,HSM-M-03,85.28,2.81,2.95,70.99,1258.84
2026-04-02 12:00,HSM-M-03,80.89,2.6,3.07,66.74,1255.78
2026-04-02 13:00,HSM-M-03,83.85,2.45,2.72,60.74,1161.53
2026-04-02 14:00,HSM-M-03,80.86,2.48,2.47,64.8,1112.71
2026-04-02 15:00,HSM-M-03,79.06,2.26,2.36,54.89,1114.03
2026-04-02 16:00,HSM-M-03,79.93,2.34,2.48,61.46,1146.86
2026-04-02 17:00,HSM-M-03,77.22,2.25,2.21,62.48,1087.23
2026-04-02 18:00,HSM-M-03,79.31,2.47,2.68,58.53,1066.54
2026-04-02 19:00,HSM-M-03,75.23,2.26,2.16,61.05,1144.69
2026-04-02 20:00,HSM-M-03,78.85,2.03,2.19,61.06,1068.38
2026-04-02 21:00,HSM-M-03,81.11,2.19,2.15,56.85,1104.51
2026-04-02 22:00,HSM-M-03,85.03,2.45,2.55,65.68,1220.43
2026-04-02 23:00,HSM-M-03,81.05,2.55,2.6,62.18,1175.66
2026-04-03 00:00,HSM-M-03,82.28,2.62,3.18,63.91,1252.25
2026-04-03 01:00,HSM-M-03,89.07,2.97,3.24,61.62,1226.92
2026-04-03 02:00,HSM-M-03,86.0,3.02,2.86,64.24,1302.46
2026-04-03 03:00,HSM-M-03,89.66,3.07,2.81,68.63,1193.49
2026-04-03 04:00,HSM-M-03,87.0,3.41,3.19,67.9,1182.79
2026-04-03 05:00,HSM-M-03,91.2,2.88,3.12,69.12,1265.87
2026-04-03 06:00,HSM-M-03,89.31,3.16,3.5,69.3,1306.66
2026-04-03 07:00,HSM-M-03,94.03,3.2,2.98,66.17,1329.43
2026-04-03 08:00,HSM-M-03,88.36,2.9,3.27,69.41,1284.97
2026-04-03 09:00,HSM-M-03,90.73,3.08,3.11,69.53,1271.95
2026-04-03 10:00,HSM-M-03,83.31,3.07,2.66,67.37,1266.13
2026-04-03 11:00,HSM-M-03,82.22,2.85,3.15,68.32,1249.02
2026-04-03 12:00,HSM-M-03,80.89,2.72,2.61,64.97,1197.8
2026-04-03 13:00,HSM-M-03,85.35,2.85,2.69,62.14,1158.79
