timestamp,asset_id,oscillation_frequency,hydraulic_pressure,mould_level_dev,oil_temperature
2026-04-01 00:00,CCM-OSC-04,164.65,128.51,-0.19,45.33
2026-04-01 01:00,CCM-OSC-04,153.15,128.43,-0.22,43.81
2026-04-01 02:00,CCM-OSC-04,168.61,124.09,0.84,48.42
2026-04-01 03:00,CCM-OSC-04,162.78,132.74,0.79,46.33
2026-04-01 04:00,CCM-OSC-04,159.48,135.34,1.99,47.63
2026-04-01 05:00,CCM-OSC-04,172.15,135.46,1.25,47.29
2026-04-01 06:00,CCM-OSC-04,175.05,135.2,0.74,47.97
2026-04-01 07:00,CCM-OSC-04,159.14,137.06,0.9,48.25
2026-04-01 08:00,CCM-OSC-04,186.87,128.53,1.21,46.94
2026-04-01 09:00,CCM-OSC-04,165.43,128.74,1.05,46.76
2026-04-01 10:00,CCM-OSC-04,143.79,126.88,1.03,46.1
2026-04-01 11:00,CCM-OSC-04,153.63,128.83,0.51,44.53
2026-04-01 12:00,CCM-OSC-04,153.81,128.54,0.69,44.83
2026-04-01 13:00,CCM-OSC-04,149.45,115.6,-0.47,44.08
2026-04-01 14:00,CCM-OSC-04,150.57,113.74,-1.4,44.45
2026-04-01 15:00,CCM-OSC-04,141.16,114.43,-0.68,43.91
2026-04-01 16:00,CCM-OSC-04,134.61,111.19,-1.35,44.08
2026-04-01 17:00,CCM-OSC-04,122.25,116.71,-1.37,42.94
2026-04-01 18:00,CCM-OSC-04,137.3,115.71,-0.85,42.03
2026-04-01 19:00,CCM-OSC-04,129.0,115.45,-1.24,44.34
2026-04-01 20:00,CCM-OSC-04,142.1,126.11,-1.29,42.71
2026-04-01 21:00,CCM-OSC-04,130.6,119.06,-0.9,44.89
2026-04-01 22:00,CCM-OSC-04,142.0,116.92,-0.1,42.85
2026-04-01 23:00,CCM-OSC-04,145.62,116.9,-0.54,43.9
2026-04-02 00:00,CCM-OSC-04,145.33,121.92,-0.56,44.86
2026-04-02 01:00,CCM-OSC-04,149.57,131.79,-0.58,46.33
2026-04-02 02:00,CCM-OSC-04,161.52,130.06,0.61,45.21
2026-04-02 03:00,CCM-OSC-04,153.32,133.56,1.11,46.64
2026-04-02 04:00,CCM-OSC-04,160.09,126.65,0.45,47.73
2026-04-02 05:00,CCM-OSC-04,170.94,129.24,1.72,46.97
2026-04-02 06:00,CCM-OSC-04,179.24,131.87,1.56,48.2
2026-04-02 07:00,CCM-OSC-04,163.43,130.44,0.68,46.77
2026-04-02 08:00,CCM-OSC-04,170.3,130.98,1.41,47.67
2026-04-02 09:00,CCM-OSC-04,157.93,129.74,0.99,47.45
2026-04-02 10:00,CCM-OSC-04,158.95,122.33,-0.06,45.01
2026-04-02 11:00,CCM-OSC-04,152.95,127.63,1.41,46.62
2026-04-02 12:00,CCM-OSC-04,143.34,125.15,-0.26,43.79
2026-04-02 13:00,CCM-OSC-04,142.3,118.96,-0.02,43.19
2026-04-02 14:00,CCM-OSC-04,146.27,119.39,-1.83,41.4
2026-04-02 15:00,CCM-OSC-04,135.53,117.86,-0.21,43.56
2026-04-02 16:00,CCM-OSC-04,139.66,114.42,-1.49,44.92
2026-04-02 17:00,CCM-OSC-04,130.51,123.0,-0.9,43.35
2026-04-02 18:00,CCM-OSC-04,135.23,113.46,-0.24,40.89
2026-04-02 19:00,CCM-OSC-04,139.34,120.1,-1.06,42.14
2026-04-02 20:00,CCM-OSC-04,125.79,118.51,-1.85,42.97
2026-04-02 21:00,CCM-OSC-04,149.07,121.04,-0.63,44.31
2026-04-02 22:00,CCM-OSC-04,138.92,126.95,-0.36,43.27
2026-04-02 23:00,CCM-OSC-04,143.78,121.45,-0.49,44.58
2026-04-03 00:00,CCM-OSC-04,155.37,124.68,-0.66,44.43
2026-04-03 01:00,CCM-OSC-04,149.56,125.21,0.61,46.58
2026-04-03 02:00,CCM-OSC-04,170.62,127.46,0.55,46.23
2026-04-03 03:00,CCM-OSC-04,160.23,133.71,0.71,46.79
2026-04-03 04:00,CCM-OSC-04,175.4,126.44,1.43,46.09
2026-04-03 05:00,CCM-OSC-04,161.78,133.7,1.07,46.04
2026-04-03 06:00,CCM-OSC-04,170.21,130.37,1.88,48.84
2026-04-03 07:00,CCM-OSC-04,166.04,128.42,1.26,48.4
2026-04-03 08:00,CCM-OSC-04,164.47,138.58,0.81,47.33
2026-04-03 09:00,CCM-OSC-04,158.38,130.63,1.52,47.52
2026-04-03 10:00,CCM-OSC-04,158.56,124.91,1.0,47.75
2026-04-03 11:00,CCM-OSC-04,155.44,124.68,0.97,45.81
2026-04-03 12:00,CCM-OSC-04,150.18,121.14,0.58,47.2
2026-04-03 13:00,CCM-OSC-04,143.15,126.32,-0.28,43.6
2026-04-03 14:00,CCM-OSC-04,159.39,116.53,-0.79,41.85
2026-04-03 15:00,CCM-OSC-04,151.94,117.03,-1.4,43.84
2026-04-03 16:00,CCM-OSC-04,139.99,116.24,-0.77,43.87
2026-04-03 17:00,CCM-OSC-04,138.25,119.47,-1.04,44.23
2026-04-03 18:00,CCM-OSC-04,132.71,113.32,-0.6,41.23
2026-04-03 19:00,CCM-OSC-04,137.04,120.04,-1.77,41.71
2026-04-03 20:00,CCM-OSC-04,134.1,121.4,-1.32,41.81
2026-04-03 21:00,CCM-OSC-04,136.65,122.67,-1.09,43.23
2026-04-03 22:00,CCM-OSC-04,148.04,121.16,-0.23,42.36
2026-04-03 23:00,CCM-OSC-04,132.88,120.86,0.32,43.74
2026-04-04 00:00,CCM-OSC-04,151.64,128.61,-0.05,45.3
2026-04-04 01:00,CCM-OSC-04,146.93,124.08,-0.28,45.25
