timestamp,asset_id,oscillation_frequency,hydraulic_pressure,mould_level_dev,oil_temperature
2026-04-01 00:00,CCM-OSC-02,150.35,123.99,-0.12,45.73
2026-04-01 01:00,CCM-OSC-02,157.77,131.17,1.16,47.61
2026-04-01 02:00,CCM-OSC-02,169.22,129.27,0.17,45.97
2026-04-01 03:00,CCM-OSC-02,154.31,132.34,0.94,47.24
2026-04-01 04:00,CCM-OSC-02,161.3,123.9,1.17,47.39
2026-04-01 05:00,CCM-OSC-02,165.44,131.06,0.5,47.48
2026-04-01 06:00,CCM-OSC-02,165.46,134.59,0.89,47.76
2026-04-01 07:00,CCM-OSC-02,151.55,133.58,0.92,47.04
2026-04-01 08:00,CCM-OSC-02,172.27,128.64,1.33,46.84
2026-04-01 09:00,CCM-OSC-02,148.59,129.71,1.04,45.94
2026-04-01 10:00,CCM-OSC-02,158.0,124.84,0.91,46.79
2026-04-01 11:00,CCM-OSC-02,159.72,126.76,0.7,45.29
2026-04-01 12:00,CCM-OSC-02,146.51,124.46,-0.01,45.07
2026-04-01 13:00,CCM-OSC-02,139.82,122.0,-0.29,42.73
2026-04-01 14:00,CCM-OSC-02,136.36,121.85,0.25,45.37
2026-04-01 15:00,CCM-OSC-02,136.37,120.74,-0.91,41.15
2026-04-01 16:00,CCM-OSC-02,148.21,119.59,-1.32,43.28
2026-04-01 17:00,CCM-OSC-02,134.32,113.46,-1.96,42.72
2026-04-01 18:00,CCM-OSC-02,146.61,121.44,-0.66,42.17
2026-04-01 19:00,CCM-OSC-02,140.5,116.57,-1.75,42.05
2026-04-01 20:00,CCM-OSC-02,131.65,120.23,-1.82,41.3
2026-04-01 21:00,CCM-OSC-02,135.26,116.94,-0.46,42.72
2026-04-01 22:00,CCM-OSC-02,141.4,121.7,-0.37,43.18
2026-04-01 23:00,CCM-OSC-02,138.46,124.93,0.26,44.83
2026-04-02 00:00,CCM-OSC-02,156.65,123.85,0.04,45.86
2026-04-02 01:00,CCM-OSC-02,146.5,132.41,0.36,46.5
2026-04-02 02:00,CCM-OSC-02,166.36,130.1,0.16,47.33
2026-04-02 03:00,CCM-OSC-02,160.77,129.57,0.72,48.82
2026-04-02 04:00,CCM-OSC-02,163.95,132.2,0.72,46.4
2026-04-02 05:00,CCM-OSC-02,167.2,137.84,1.12,47.97
2026-04-02 06:00,CCM-OSC-02,168.85,134.26,0.78,48.88
2026-04-02 07:00,CCM-OSC-02,157.13,132.85,1.64,45.91
2026-04-02 08:00,CCM-OSC-02,164.78,133.36,0.39,48.85
2026-04-02 09:00,CCM-OSC-02,159.16,129.37,0.51,46.06
2026-04-02 10:00,CCM-OSC-02,144.06,132.44,0.53,46.73
2026-04-02 11:00,CCM-OSC-02,152.87,128.08,0.3,44.48
2026-04-02 12:00,CCM-OSC-02,163.27,123.44,-0.35,44.65
2026-04-02 13:00,CCM-OSC-02,142.44,125.24,-0.6,44.68
2026-04-02 14:00,CCM-OSC-02,141.75,122.04,0.87,43.51
2026-04-02 15:00,CCM-OSC-02,140.21,124.07,-1.19,41.77
2026-04-02 16:00,CCM-OSC-02,131.55,116.83,-0.94,42.77
2026-04-02 17:00,CCM-OSC-02,125.48,115.5,-0.03,41.45
2026-04-02 18:00,CCM-OSC-02,133.89,115.84,-0.72,42.73
2026-04-02 19:00,CCM-OSC-02,115.55,116.58,-1.95,41.48
2026-04-02 20:00,CCM-OSC-02,142.41,119.96,-1.79,43.82
2026-04-02 21:00,CCM-OSC-02,136.64,118.96,0.0,42.33
2026-04-02 22:00,CCM-OSC-02,149.04,119.12,-1.78,43.65
