timestamp,asset_id,hoist_motor_current,rope_tension,brake_temperature,lance_cooling_flow
2026-04-01 00:00,BOF-LH-01,138.9,52.75,52.88,158.01
2026-04-01 01:00,BOF-LH-01,136.78,46.95,55.5,160.16
2026-04-01 02:00,BOF-LH-01,131.78,48.89,53.4,166.6
2026-04-01 03:00,BOF-LH-01,146.38,52.73,59.14,166.56
2026-04-01 04:00,BOF-LH-01,139.89,53.25,57.68,170.78
2026-04-01 05:00,BOF-LH-01,150.7,52.13,60.05,168.77
2026-04-01 06:00,BOF-LH-01,148.48,57.46,60.22,174.21
2026-04-01 07:00,BOF-LH-01,152.25,59.18,56.26,169.89
2026-04-01 08:00,BOF-LH-01,150.56,55.58,55.37,171.66
2026-04-01 09:00,BOF-LH-01,144.89,54.69,58.72,165.81
2026-04-01 10:00,BOF-LH-01,142.6,53.26,58.03,165.98
2026-04-01 11:00,BOF-LH-01,137.19,52.5,54.67,163.76
2026-04-01 12:00,BOF-LH-01,141.46,54.43,52.2,163.38
2026-04-01 13:00,BOF-LH-01,127.98,46.82,47.17,156.26
2026-04-01 14:00,BOF-LH-01,134.06,51.39,54.0,156.96
2026-04-01 15:00,BOF-LH-01,117.68,46.86,45.96,149.81
2026-04-01 16:00,BOF-LH-01,116.2,42.76,49.19,156.42
2026-04-01 17:00,BOF-LH-01,105.93,43.16,48.5,151.37
2026-04-01 18:00,BOF-LH-01,116.99,41.33,48.97,152.36
2026-04-01 19:00,BOF-LH-01,113.17,40.35,47.0,148.66
2026-04-01 20:00,BOF-LH-01,116.62,49.01,47.1,152.26
2026-04-01 21:00,BOF-LH-01,124.08,43.71,45.02,153.46
2026-04-01 22:00,BOF-LH-01,123.13,47.05,53.92,159.12
2026-04-01 23:00,BOF-LH-01,120.68,48.41,53.07,157.27
2026-04-02 00:00,BOF-LH-01,125.47,50.9,52.92,164.32
2026-04-02 01:00,BOF-LH-01,141.89,55.8,51.57,170.22
2026-04-02 02:00,BOF-LH-01,143.41,57.65,53.43,166.65
2026-04-02 03:00,BOF-LH-01,156.76,55.54,58.21,168.84
2026-04-02 04:00,BOF-LH-01,146.92,56.55,61.1,168.77
2026-04-02 05:00,BOF-LH-01,143.45,58.15,58.04,168.96
2026-04-02 06:00,BOF-LH-01,143.73,57.87,59.79,175.69
2026-04-02 07:00,BOF-LH-01,154.9,60.75,58.25,169.66
2026-04-02 08:00,BOF-LH-01,137.83,53.59,59.05,171.97
2026-04-02 09:00,BOF-LH-01,142.11,59.73,52.99,167.72
2026-04-02 10:00,BOF-LH-01,139.39,56.64,54.61,172.65
2026-04-02 11:00,BOF-LH-01,141.91,49.49,55.28,157.86
2026-04-02 12:00,BOF-LH-01,130.0,50.12,48.58,157.17
