timestamp,asset_id,discharge_pressure,flow_rate,bearing_temperature,vibration,motor_current
2026-04-01 00:00,CWP-02,6.53,517.12,60.83,2.65,138.53
2026-04-01 01:00,CWP-02,6.33,520.81,60.64,2.82,141.76
2026-04-01 02:00,CWP-02,6.95,531.84,63.5,3.02,168.98
2026-04-01 03:00,CWP-02,6.91,501.39,61.82,2.71,159.29
2026-04-01 04:00,CWP-02,7.15,546.08,66.15,3.03,148.03
2026-04-01 05:00,CWP-02,7.02,530.36,66.52,3.22,165.05
2026-04-01 06:00,CWP-02,7.23,547.05,66.69,3.04,166.75
2026-04-01 07:00,CWP-02,7.19,577.27,64.43,3.07,161.83
2026-04-01 08:00,CWP-02,7.21,537.56,63.77,3.37,161.27
2026-04-01 09:00,CWP-02,6.81,544.93,65.75,3.18,166.99
2026-04-01 10:00,CWP-02,6.82,499.7,62.15,2.73,166.12
2026-04-01 11:00,CWP-02,6.83,486.28,60.95,2.89,154.78
2026-04-01 12:00,CWP-02,6.39,506.06,61.03,2.03,142.79
2026-04-01 13:00,CWP-02,6.45,484.26,58.53,2.59,151.62
2026-04-01 14:00,CWP-02,6.06,484.82,59.82,2.34,145.0
2026-04-01 15:00,CWP-02,6.04,457.38,55.35,2.22,149.51
2026-04-01 16:00,CWP-02,5.85,446.18,56.16,2.22,137.52
2026-04-01 17:00,CWP-02,6.15,452.02,55.39,1.85,129.54
2026-04-01 18:00,CWP-02,5.27,474.99,54.17,1.94,126.37
2026-04-01 19:00,CWP-02,5.87,454.82,54.91,2.32,126.74
2026-04-01 20:00,CWP-02,5.89,472.5,55.16,2.3,145.18
2026-04-01 21:00,CWP-02,6.25,445.91,53.82,2.29,142.53
2026-04-01 22:00,CWP-02,6.19,479.29,58.06,2.52,146.59
2026-04-01 23:00,CWP-02,6.42,513.07,54.11,2.59,136.52
2026-04-02 00:00,CWP-02,6.73,552.58,59.39,2.44,145.36
2026-04-02 01:00,CWP-02,6.59,528.75,64.22,2.58,149.4
2026-04-02 02:00,CWP-02,6.84,519.46,59.94,2.96,168.89
2026-04-02 03:00,CWP-02,7.13,491.45,60.72,3.07,160.22
2026-04-02 04:00,CWP-02,7.09,522.07,66.63,3.18,173.16
2026-04-02 05:00,CWP-02,7.06,543.52,61.9,3.31,163.35
2026-04-02 06:00,CWP-02,7.05,547.87,62.4,3.35,167.08
2026-04-02 07:00,CWP-02,6.68,555.65,61.4,2.85,150.39
2026-04-02 08:00,CWP-02,6.85,553.24,64.5,2.68,169.31
2026-04-02 09:00,CWP-02,6.61,531.66,65.38,2.94,159.1
2026-04-02 10:00,CWP-02,6.5,523.38,63.52,2.88,153.68
2026-04-02 11:00,CWP-02,6.9,503.65,62.72,2.94,162.8
2026-04-02 12:00,CWP-02,7.05,496.67,58.09,2.82,151.91
2026-04-02 13:00,CWP-02,6.46,492.85,55.49,2.53,149.87
2026-04-02 14:00,CWP-02,6.43,454.35,61.5,2.79,140.02
2026-04-02 15:00,CWP-02,5.96,499.53,61.3,2.45,142.01
2026-04-02 16:00,CWP-02,6.04,466.68,56.57,2.47,127.09
2026-04-02 17:00,CWP-02,5.58,474.39,54.46,2.15,130.98
2026-04-02 18:00,CWP-02,5.72,429.61,50.32,2.34,128.3
2026-04-02 19:00,CWP-02,5.98,447.85,55.95,2.17,125.59
2026-04-02 20:00,CWP-02,5.89,457.57,55.45,2.27,134.13
2026-04-02 21:00,CWP-02,5.78,444.07,55.54,2.27,145.02
2026-04-02 22:00,CWP-02,6.17,492.35,56.97,2.33,147.8
2026-04-02 23:00,CWP-02,6.4,493.16,58.96,2.24,147.66
2026-04-03 00:00,CWP-02,6.33,484.34,61.27,2.76,145.87
2026-04-03 01:00,CWP-02,6.51,526.56,63.84,2.8,153.28
2026-04-03 02:00,CWP-02,7.22,560.94,64.28,2.91,162.63
2026-04-03 03:00,CWP-02,6.85,553.75,64.35,3.29,163.37
2026-04-03 04:00,CWP-02,7.18,525.03,65.83,3.28,177.76
2026-04-03 05:00,CWP-02,6.87,561.08,64.96,2.77,159.92
2026-04-03 06:00,CWP-02,7.02,550.76,64.22,3.32,182.24
2026-04-03 07:00,CWP-02,7.1,581.6,64.48,2.95,171.4
2026-04-03 08:00,CWP-02,7.08,553.86,64.81,3.03,171.89
2026-04-03 09:00,CWP-02,6.82,522.3,60.6,2.89,161.35
2026-04-03 10:00,CWP-02,6.56,509.39,59.4,2.64,159.73
2026-04-03 11:00,CWP-02,6.74,551.74,60.99,2.66,141.92
2026-04-03 12:00,CWP-02,6.74,496.9,60.72,2.41,159.16
2026-04-03 13:00,CWP-02,6.17,500.53,61.05,2.7,142.46
2026-04-03 14:00,CWP-02,6.25,454.97,54.22,2.27,149.68
2026-04-03 15:00,CWP-02,5.95,472.59,56.37,2.3,116.59
2026-04-03 16:00,CWP-02,6.2,415.91,56.54,2.3,126.55
2026-04-03 17:00,CWP-02,6.07,464.04,52.64,2.38,147.43
2026-04-03 18:00,CWP-02,6.19,462.52,52.33,1.94,138.92
2026-04-03 19:00,CWP-02,6.07,443.9,57.71,2.47,131.94
2026-04-03 20:00,CWP-02,5.58,467.16,52.51,2.25,131.97
2026-04-03 21:00,CWP-02,6.33,444.09,55.48,2.36,127.28
2026-04-03 22:00,CWP-02,6.54,435.13,60.75,2.57,146.99
2026-04-03 23:00,CWP-02,6.49,524.09,57.97,2.46,146.75
2026-04-04 00:00,CWP-02,6.17,492.89,56.92,2.47,148.18
2026-04-04 01:00,CWP-02,6.57,519.82,62.51,2.79,167.23
2026-04-04 02:00,CWP-02,7.16,509.8,66.55,2.82,164.39
2026-04-04 03:00,CWP-02,6.9,529.59,64.99,2.63,164.87
2026-04-04 04:00,CWP-02,6.96,508.56,64.86,3.24,167.49
2026-04-04 05:00,CWP-02,7.04,560.13,63.43,3.15,165.71
2026-04-04 06:00,CWP-02,7.33,527.9,65.81,3.32,161.63
2026-04-04 07:00,CWP-02,6.93,549.49,65.18,2.98,161.19
2026-04-04 08:00,CWP-02,6.89,514.48,61.79,3.38,171.41
2026-04-04 09:00,CWP-02,7.14,543.43,61.62,2.7,163.36
2026-04-04 10:00,CWP-02,6.83,525.83,58.04,2.85,172.06
2026-04-04 11:00,CWP-02,6.2,524.72,61.58,2.88,152.23
2026-04-04 12:00,CWP-02,6.87,467.26,57.47,2.97,153.73
2026-04-04 13:00,CWP-02,6.47,524.12,60.32,2.77,142.68
2026-04-04 14:00,CWP-02,6.12,469.6,55.5,2.72,142.31
2026-04-04 15:00,CWP-02,5.7,459.48,56.35,2.1,138.47
2026-04-04 16:00,CWP-02,5.66,476.41,56.0,2.5,135.19
2026-04-04 17:00,CWP-02,6.09,456.56,54.19,2.18,137.58
2026-04-04 18:00,CWP-02,5.27,455.11,53.13,2.19,121.77
2026-04-04 19:00,CWP-02,6.3,438.93,53.51,2.2,133.37
2026-04-04 20:00,CWP-02,6.22,475.22,56.96,2.05,132.18
2026-04-04 21:00,CWP-02,6.08,433.4,56.62,2.5,143.6
2026-04-04 22:00,CWP-02,6.47,485.15,55.47,2.47,146.4
2026-04-04 23:00,CWP-02,6.17,462.73,59.81,2.27,147.32
2026-04-05 00:00,CWP-02,6.67,496.19,59.15,2.47,146.93
2026-04-05 01:00,CWP-02,6.55,520.63,64.11,2.64,155.45
2026-04-05 02:00,CWP-02,6.59,532.1,61.39,2.75,164.21
2026-04-05 03:00,CWP-02,6.69,533.62,61.69,2.79,158.63
2026-04-05 04:00,CWP-02,6.88,502.16,63.7,3.05,166.04
2026-04-05 05:00,CWP-02,7.73,535.64,64.2,3.15,170.23
2026-04-05 06:00,CWP-02,7.45,523.23,66.62,3.12,168.79
2026-04-05 07:00,CWP-02,6.98,573.78,66.26,3.04,162.29
2026-04-05 08:00,CWP-02,7.13,562.54,64.9,2.74,153.78
2026-04-05 09:00,CWP-02,7.19,527.17,60.78,2.77,168.81
2026-04-05 10:00,CWP-02,7.1,547.57,60.89,3.04,145.5
2026-04-05 11:00,CWP-02,7.03,514.52,59.82,3.01,149.06
2026-04-05 12:00,CWP-02,6.25,449.51,55.23,2.91,141.37
2026-04-05 13:00,CWP-02,6.1,478.43,57.75,2.4,139.93
2026-04-05 14:00,CWP-02,6.04,494.88,55.94,2.24,134.75
2026-04-05 15:00,CWP-02,6.21,495.86,54.16,2.53,138.88
2026-04-05 16:00,CWP-02,6.48,472.4,53.23,2.43,140.49
2026-04-05 17:00,CWP-02,6.42,456.28,55.33,1.95,127.47
2026-04-05 18:00,CWP-02,6.45,426.48,56.06,1.76,139.77
2026-04-05 19:00,CWP-02,5.77,498.87,55.01,2.54,133.08
2026-04-05 20:00,CWP-02,6.19,486.5,55.87,2.42,130.55
2026-04-05 21:00,CWP-02,6.14,456.74,55.65,2.46,147.99
2026-04-05 22:00,CWP-02,6.09,474.84,57.71,2.41,146.14
2026-04-05 23:00,CWP-02,6.66,488.49,57.34,2.44,135.29
2026-04-06 00:00,CWP-02,6.63,493.21,58.09,2.74,150.5
2026-04-06 01:00,CWP-02,6.47,492.35,59.51,2.99,153.1
2026-04-06 02:00,CWP-02,7.2,514.9,62.0,2.95,155.18
2026-04-06 03:00,CWP-02,6.74,501.5,63.65,3.06,164.22
2026-04-06 04:00,CWP-02,6.95,574.69,61.9,3.11,156.25
2026-04-06 05:00,CWP-02,7.4,516.99,63.52,3.06,158.67
2026-04-06 06:00,CWP-02,6.78,535.38,66.79,3.25,160.05
2026-04-06 07:00,CWP-02,7.3,553.69,62.92,3.11,165.0
2026-04-06 08:00,CWP-02,7.25,540.27,63.29,3.0,161.94
2026-04-06 09:00,CWP-02,6.84,546.68,65.35,3.22,166.29
2026-04-06 10:00,CWP-02,6.97,518.96,62.34,2.92,153.9
