timestamp,asset_id,hydraulic_pressure,beam_position_error,oil_temperature,cylinder_drift
2026-04-01 00:00,RHF-WBD-04,168.13,-1.02,49.26,1.55
2026-04-01 01:00,RHF-WBD-04,165.17,0.71,47.44,1.5
2026-04-01 02:00,RHF-WBD-04,168.09,-0.17,46.52,1.82
2026-04-01 03:00,RHF-WBD-04,172.57,2.14,49.61,1.68
2026-04-01 04:00,RHF-WBD-04,180.22,1.46,47.97,1.98
2026-04-01 05:00,RHF-WBD-04,175.84,1.62,49.19,2.31
2026-04-01 06:00,RHF-WBD-04,178.18,1.63,48.53,2.03
2026-04-01 07:00,RHF-WBD-04,174.24,0.79,47.12,2.1
2026-04-01 08:00,RHF-WBD-04,172.35,1.46,47.89,1.62
2026-04-01 09:00,RHF-WBD-04,169.5,0.37,48.72,1.84
2026-04-01 10:00,RHF-WBD-04,174.25,1.84,49.31,1.75
2026-04-01 11:00,RHF-WBD-04,174.68,2.1,45.98,1.41
2026-04-01 12:00,RHF-WBD-04,170.04,0.2,45.43,1.38
2026-04-01 13:00,RHF-WBD-04,164.93,0.55,47.37,1.31
2026-04-01 14:00,RHF-WBD-04,158.43,0.46,46.59,1.31
2026-04-01 15:00,RHF-WBD-04,160.03,-1.98,43.95,1.24
2026-04-01 16:00,RHF-WBD-04,149.0,-1.93,45.34,1.18
2026-04-01 17:00,RHF-WBD-04,146.5,-1.43,42.83,1.11
2026-04-01 18:00,RHF-WBD-04,156.2,-1.53,43.8,0.97
2026-04-01 19:00,RHF-WBD-04,152.59,-1.24,44.32,1.22
2026-04-01 20:00,RHF-WBD-04,151.44,-1.04,42.52,1.23
2026-04-01 21:00,RHF-WBD-04,150.81,-1.23,44.23,1.42
2026-04-01 22:00,RHF-WBD-04,162.6,-1.07,45.43,1.2
2026-04-01 23:00,RHF-WBD-04,161.35,0.45,46.42,1.56
2026-04-02 00:00,RHF-WBD-04,165.7,-2.07,47.99,1.47
2026-04-02 01:00,RHF-WBD-04,170.46,0.61,48.44,1.76
2026-04-02 02:00,RHF-WBD-04,176.61,1.16,47.63,1.58
2026-04-02 03:00,RHF-WBD-04,173.32,2.42,47.49,1.87
2026-04-02 04:00,RHF-WBD-04,163.65,1.13,50.54,1.89
2026-04-02 05:00,RHF-WBD-04,172.74,2.33,49.46,1.58
2026-04-02 06:00,RHF-WBD-04,177.75,2.54,50.51,1.76
2026-04-02 07:00,RHF-WBD-04,175.51,0.94,49.85,1.86
2026-04-02 08:00,RHF-WBD-04,172.91,1.01,50.06,1.71
2026-04-02 09:00,RHF-WBD-04,164.81,3.45,46.71,2.18
2026-04-02 10:00,RHF-WBD-04,162.81,2.72,48.67,1.85
