timestamp,asset_id,hydraulic_pressure,beam_position_error,oil_temperature,cylinder_drift
2026-04-01 00:00,RHF-WBD-02,170.37,-0.05,45.9,1.18
2026-04-01 01:00,RHF-WBD-02,172.96,-0.62,46.68,1.58
2026-04-01 02:00,RHF-WBD-02,166.78,1.07,47.59,1.96
2026-04-01 03:00,RHF-WBD-02,170.27,1.73,46.81,1.89
2026-04-01 04:00,RHF-WBD-02,168.68,1.25,48.35,1.69
2026-04-01 05:00,RHF-WBD-02,175.63,1.99,49.85,1.73
2026-04-01 06:00,RHF-WBD-02,187.97,2.4,49.47,1.67
2026-04-01 07:00,RHF-WBD-02,185.63,2.57,48.46,1.89
2026-04-01 08:00,RHF-WBD-02,172.56,1.75,46.59,1.89
2026-04-01 09:00,RHF-WBD-02,164.8,0.73,46.97,1.83
2026-04-01 10:00,RHF-WBD-02,172.71,1.2,49.77,1.57
2026-04-01 11:00,RHF-WBD-02,169.23,0.65,48.5,1.61
2026-04-01 12:00,RHF-WBD-02,154.89,0.47,49.2,1.68
2026-04-01 13:00,RHF-WBD-02,166.96,-0.35,45.86,1.32
2026-04-01 14:00,RHF-WBD-02,158.81,0.05,45.71,1.48
2026-04-01 15:00,RHF-WBD-02,151.69,-0.18,44.02,1.43
2026-04-01 16:00,RHF-WBD-02,158.73,-2.61,42.46,1.04
2026-04-01 17:00,RHF-WBD-02,159.47,-1.77,41.75,1.53
2026-04-01 18:00,RHF-WBD-02,157.84,-3.17,45.27,1.0
2026-04-01 19:00,RHF-WBD-02,146.99,-1.89,44.66,1.26
2026-04-01 20:00,RHF-WBD-02,144.66,-1.68,46.53,1.17
2026-04-01 21:00,RHF-WBD-02,164.71,-1.6,45.08,1.38
2026-04-01 22:00,RHF-WBD-02,161.58,0.32,44.41,1.3
2026-04-01 23:00,RHF-WBD-02,158.91,-0.22,44.41,1.33
2026-04-02 00:00,RHF-WBD-02,172.17,-0.1,47.51,1.59
2026-04-02 01:00,RHF-WBD-02,169.43,0.33,47.34,1.65
2026-04-02 02:00,RHF-WBD-02,161.74,-0.23,46.88,1.54
2026-04-02 03:00,RHF-WBD-02,171.65,0.45,49.8,1.87
2026-04-02 04:00,RHF-WBD-02,170.04,1.38,48.9,1.82
2026-04-02 05:00,RHF-WBD-02,176.17,1.61,49.53,1.74
2026-04-02 06:00,RHF-WBD-02,174.47,0.4,50.27,1.97
2026-04-02 07:00,RHF-WBD-02,176.71,1.32,49.3,1.92
2026-04-02 08:00,RHF-WBD-02,177.55,1.27,50.64,1.85
2026-04-02 09:00,RHF-WBD-02,180.11,1.8,47.27,2.03
2026-04-02 10:00,RHF-WBD-02,169.3,0.82,48.17,1.67
2026-04-02 11:00,RHF-WBD-02,161.4,-0.37,45.3,1.7
2026-04-02 12:00,RHF-WBD-02,163.01,0.26,46.97,1.35
2026-04-02 13:00,RHF-WBD-02,159.75,-0.24,42.91,1.28
2026-04-02 14:00,RHF-WBD-02,159.76,-0.91,44.24,1.41
2026-04-02 15:00,RHF-WBD-02,158.64,-2.36,43.76,1.3
2026-04-02 16:00,RHF-WBD-02,149.2,-2.77,43.67,1.14
2026-04-02 17:00,RHF-WBD-02,157.08,-2.12,45.57,1.32
2026-04-02 18:00,RHF-WBD-02,152.33,-2.83,42.98,0.99
2026-04-02 19:00,RHF-WBD-02,153.46,-1.19,43.64,1.09
2026-04-02 20:00,RHF-WBD-02,154.52,-2.98,44.58,0.88
2026-04-02 21:00,RHF-WBD-02,163.09,-1.69,44.58,1.35
2026-04-02 22:00,RHF-WBD-02,164.4,-1.41,45.37,1.31
2026-04-02 23:00,RHF-WBD-02,162.0,-1.13,42.65,1.45
2026-04-03 00:00,RHF-WBD-02,157.46,1.29,45.81,1.34
2026-04-03 01:00,RHF-WBD-02,164.04,1.35,47.5,1.46
2026-04-03 02:00,RHF-WBD-02,167.55,1.7,49.36,1.82
2026-04-03 03:00,RHF-WBD-02,173.11,0.56,50.06,1.7
2026-04-03 04:00,RHF-WBD-02,176.39,2.06,49.35,1.71
2026-04-03 05:00,RHF-WBD-02,167.29,0.97,46.55,1.67
2026-04-03 06:00,RHF-WBD-02,182.66,1.71,47.69,1.93
2026-04-03 07:00,RHF-WBD-02,169.39,0.87,48.55,1.84
2026-04-03 08:00,RHF-WBD-02,175.39,3.37,50.0,1.79
2026-04-03 09:00,RHF-WBD-02,176.83,2.27,47.58,1.59
2026-04-03 10:00,RHF-WBD-02,166.55,1.58,46.19,1.8
2026-04-03 11:00,RHF-WBD-02,173.83,1.06,46.45,1.49
