timestamp,asset_id,dome_temperature,waste_gas_temp,combustion_air_flow,shell_temperature
2026-04-01 00:00,BFS-03,1279.57,328.58,49496.14,90.38
2026-04-01 01:00,BFS-03,1305.25,320.28,52626.27,86.89
2026-04-01 02:00,BFS-03,1280.59,338.6,52130.14,96.3
2026-04-01 03:00,BFS-03,1283.21,333.07,52639.5,94.91
2026-04-01 04:00,BFS-03,1311.39,335.91,52092.41,99.0
2026-04-01 05:00,BFS-03,1336.68,347.88,53438.77,94.09
2026-04-01 06:00,BFS-03,1317.65,338.68,54856.49,101.27
2026-04-01 07:00,BFS-03,1319.9,343.56,52804.95,102.66
2026-04-01 08:00,BFS-03,1316.02,344.5,52508.27,100.37
2026-04-01 09:00,BFS-03,1271.85,335.7,51824.7,92.72
2026-04-01 10:00,BFS-03,1287.17,335.61,49035.1,93.56
2026-04-01 11:00,BFS-03,1289.57,336.85,52634.31,91.0
2026-04-01 12:00,BFS-03,1244.65,323.9,50306.64,92.24
2026-04-01 13:00,BFS-03,1271.37,325.66,50341.57,84.89
2026-04-01 14:00,BFS-03,1274.64,327.87,48726.82,84.03
2026-04-01 15:00,BFS-03,1252.92,308.76,49681.21,85.49
2026-04-01 16:00,BFS-03,1223.97,310.49,48210.61,82.95
2026-04-01 17:00,BFS-03,1223.65,308.68,46394.39,82.71
2026-04-01 18:00,BFS-03,1244.44,308.21,48681.65,85.0
2026-04-01 19:00,BFS-03,1230.67,299.08,47308.05,85.69
2026-04-01 20:00,BFS-03,1219.26,303.63,46769.59,83.63
2026-04-01 21:00,BFS-03,1233.49,301.92,48913.13,84.16
2026-04-01 22:00,BFS-03,1257.58,316.29,48712.55,87.35
2026-04-01 23:00,BFS-03,1273.77,323.33,48198.1,84.8
2026-04-02 00:00,BFS-03,1268.71,327.18,49792.55,83.86
2026-04-02 01:00,BFS-03,1284.96,334.91,50852.8,89.24
2026-04-02 02:00,BFS-03,1291.3,344.19,51205.02,92.42
