timestamp,asset_id,ram_force,drive_motor_current,rail_temperature,ram_speed
2026-04-01 00:00,COR-01,222.91,231.79,67.09,13.56
2026-04-01 01:00,COR-01,234.14,247.73,67.52,12.47
2026-04-01 02:00,COR-01,237.16,252.07,65.95,12.63
2026-04-01 03:00,COR-01,217.57,235.75,66.63,13.94
2026-04-01 04:00,COR-01,266.18,263.47,71.96,14.92
2026-04-01 05:00,COR-01,242.2,246.46,73.44,14.43
2026-04-01 06:00,COR-01,258.23,249.7,67.62,15.09
2026-04-01 07:00,COR-01,241.73,229.79,67.29,13.44
2026-04-01 08:00,COR-01,267.81,233.21,70.14,13.53
2026-04-01 09:00,COR-01,261.7,242.33,68.16,14.27
2026-04-01 10:00,COR-01,233.01,237.35,68.11,13.09
2026-04-01 11:00,COR-01,228.85,229.95,66.08,13.38
2026-04-01 12:00,COR-01,229.01,226.07,65.19,13.35
2026-04-01 13:00,COR-01,233.9,205.17,59.58,13.51
2026-04-01 14:00,COR-01,183.44,212.48,62.94,12.52
2026-04-01 15:00,COR-01,217.65,197.52,64.23,12.21
2026-04-01 16:00,COR-01,198.03,209.79,59.04,11.87
2026-04-01 17:00,COR-01,191.09,200.86,60.19,10.62
2026-04-01 18:00,COR-01,191.05,195.33,60.67,12.15
2026-04-01 19:00,COR-01,187.15,196.43,62.22,11.52
2026-04-01 20:00,COR-01,195.22,183.37,57.98,11.36
2026-04-01 21:00,COR-01,214.72,195.54,63.04,12.83
2026-04-01 22:00,COR-01,202.14,207.19,61.62,12.42
2026-04-01 23:00,COR-01,222.24,208.28,63.11,11.52
2026-04-02 00:00,COR-01,217.87,225.84,71.23,12.89
2026-04-02 01:00,COR-01,226.39,228.79,66.96,13.8
2026-04-02 02:00,COR-01,266.53,250.26,72.34,13.42
2026-04-02 03:00,COR-01,240.05,234.18,70.79,14.25
2026-04-02 04:00,COR-01,244.79,238.94,71.98,15.42
2026-04-02 05:00,COR-01,240.51,236.43,71.16,14.44
2026-04-02 06:00,COR-01,229.56,229.99,68.74,13.07
2026-04-02 07:00,COR-01,251.74,247.61,70.74,13.76
2026-04-02 08:00,COR-01,234.0,220.41,66.4,13.72
2026-04-02 09:00,COR-01,262.51,258.21,72.46,14.08
2026-04-02 10:00,COR-01,255.32,242.44,63.21,13.99
2026-04-02 11:00,COR-01,223.99,221.17,67.39,13.36
2026-04-02 12:00,COR-01,201.61,216.75,64.12,12.85
2026-04-02 13:00,COR-01,223.46,213.25,65.86,12.78
2026-04-02 14:00,COR-01,206.57,206.57,62.17,12.77
2026-04-02 15:00,COR-01,226.87,197.06,63.11,12.09
2026-04-02 16:00,COR-01,204.02,188.55,60.34,11.35
2026-04-02 17:00,COR-01,209.98,189.7,57.34,10.9
2026-04-02 18:00,COR-01,197.22,184.77,58.63,11.77
2026-04-02 19:00,COR-01,191.37,194.36,59.66,12.43
2026-04-02 20:00,COR-01,198.85,211.52,61.6,11.19
2026-04-02 21:00,COR-01,189.98,182.17,62.41,12.27
2026-04-02 22:00,COR-01,208.3,208.1,67.12,12.27
2026-04-02 23:00,COR-01,237.05,198.48,61.89,12.5
2026-04-03 00:00,COR-01,210.43,209.16,65.84,13.26
2026-04-03 01:00,COR-01,254.1,208.81,66.83,13.16
2026-04-03 02:00,COR-01,224.71,265.39,68.19,13.04
2026-04-03 03:00,COR-01,253.97,230.65,69.56,13.65
2026-04-03 04:00,COR-01,261.01,237.93,71.59,14.09
2026-04-03 05:00,COR-01,278.56,252.53,66.64,14.28
2026-04-03 06:00,COR-01,261.34,241.4,73.79,14.5
2026-04-03 07:00,COR-01,255.51,252.95,68.74,14.8
2026-04-03 08:00,COR-01,245.1,261.53,70.32,13.56
2026-04-03 09:00,COR-01,233.19,217.61,67.03,13.95
2026-04-03 10:00,COR-01,240.1,236.97,67.09,13.39
2026-04-03 11:00,COR-01,235.95,218.16,66.27,13.52
2026-04-03 12:00,COR-01,227.19,211.15,64.1,12.83
2026-04-03 13:00,COR-01,199.26,201.01,61.45,13.47
2026-04-03 14:00,COR-01,198.68,221.3,66.48,12.26
2026-04-03 15:00,COR-01,231.85,198.07,60.6,12.2
2026-04-03 16:00,COR-01,204.08,197.27,60.81,12.42
