timestamp,asset_id,vibration,bearing_temperature,motor_current,inlet_pressure
2026-04-01 00:00,SP-IDF-02,3.27,59.54,328.95,-991.43
2026-04-01 01:00,SP-IDF-02,3.19,58.43,359.92,-986.62
2026-04-01 02:00,SP-IDF-02,3.6,60.12,356.92,-933.94
2026-04-01 03:00,SP-IDF-02,4.38,67.51,377.91,-920.06
2026-04-01 04:00,SP-IDF-02,4.32,68.96,365.98,-890.34
2026-04-01 05:00,SP-IDF-02,4.51,63.25,372.18,-868.22
2026-04-01 06:00,SP-IDF-02,4.28,65.02,366.1,-848.55
2026-04-01 07:00,SP-IDF-02,4.56,60.1,352.24,-920.73
2026-04-01 08:00,SP-IDF-02,4.34,63.92,394.95,-924.4
2026-04-01 09:00,SP-IDF-02,4.02,62.16,393.14,-897.32
2026-04-01 10:00,SP-IDF-02,4.0,61.29,372.42,-941.96
2026-04-01 11:00,SP-IDF-02,3.8,64.34,324.3,-970.13
2026-04-01 12:00,SP-IDF-02,3.27,61.77,347.19,-901.14
2026-04-01 13:00,SP-IDF-02,3.43,55.73,357.03,-980.36
2026-04-01 14:00,SP-IDF-02,3.41,57.41,319.84,-995.02
2026-04-01 15:00,SP-IDF-02,3.18,58.72,292.77,-1038.72
2026-04-01 16:00,SP-IDF-02,3.15,56.85,309.18,-1044.3
2026-04-01 17:00,SP-IDF-02,3.26,52.95,311.48,-1025.49
2026-04-01 18:00,SP-IDF-02,3.22,55.01,319.03,-950.82
2026-04-01 19:00,SP-IDF-02,2.87,54.76,319.94,-1021.97
2026-04-01 20:00,SP-IDF-02,3.23,55.34,322.76,-1006.34
2026-04-01 21:00,SP-IDF-02,2.81,58.9,328.99,-995.99
2026-04-01 22:00,SP-IDF-02,2.98,56.99,347.36,-917.77
2026-04-01 23:00,SP-IDF-02,3.36,57.47,344.5,-950.85
2026-04-02 00:00,SP-IDF-02,4.0,59.78,334.88,-924.26
2026-04-02 01:00,SP-IDF-02,3.27,62.25,355.11,-968.36
2026-04-02 02:00,SP-IDF-02,3.73,61.97,363.85,-875.81
2026-04-02 03:00,SP-IDF-02,3.9,65.13,368.27,-862.48
2026-04-02 04:00,SP-IDF-02,4.12,64.55,356.67,-920.32
2026-04-02 05:00,SP-IDF-02,4.27,68.09,364.8,-859.91
2026-04-02 06:00,SP-IDF-02,4.12,64.25,353.45,-893.78
2026-04-02 07:00,SP-IDF-02,4.58,63.94,387.86,-864.22
2026-04-02 08:00,SP-IDF-02,3.93,65.48,379.74,-890.57
2026-04-02 09:00,SP-IDF-02,3.63,63.84,374.64,-872.9
2026-04-02 10:00,SP-IDF-02,4.04,61.78,357.69,-931.98
2026-04-02 11:00,SP-IDF-02,3.79,59.07,364.38,-911.82
2026-04-02 12:00,SP-IDF-02,3.14,59.41,319.95,-968.04
2026-04-02 13:00,SP-IDF-02,3.29,56.21,337.92,-978.07
2026-04-02 14:00,SP-IDF-02,2.85,62.4,315.77,-998.16
2026-04-02 15:00,SP-IDF-02,2.93,59.1,303.45,-1005.82
2026-04-02 16:00,SP-IDF-02,2.99,57.17,318.32,-997.97
2026-04-02 17:00,SP-IDF-02,2.87,52.95,291.52,-1018.73
2026-04-02 18:00,SP-IDF-02,3.1,53.95,318.99,-1020.09
2026-04-02 19:00,SP-IDF-02,2.91,55.26,310.29,-1029.44
2026-04-02 20:00,SP-IDF-02,2.83,59.63,303.42,-974.02
2026-04-02 21:00,SP-IDF-02,3.04,54.01,328.63,-1005.32
2026-04-02 22:00,SP-IDF-02,2.95,58.04,362.05,-948.26
2026-04-02 23:00,SP-IDF-02,3.32,63.13,343.04,-991.82
2026-04-03 00:00,SP-IDF-02,3.25,61.68,321.27,-940.09
2026-04-03 01:00,SP-IDF-02,3.71,60.68,367.89,-963.19
2026-04-03 02:00,SP-IDF-02,3.91,62.04,345.21,-881.03
2026-04-03 03:00,SP-IDF-02,4.27,65.68,347.37,-919.93
2026-04-03 04:00,SP-IDF-02,4.12,68.45,364.08,-938.19
2026-04-03 05:00,SP-IDF-02,3.9,67.85,362.31,-872.53
2026-04-03 06:00,SP-IDF-02,3.77,65.5,366.35,-909.99
2026-04-03 07:00,SP-IDF-02,4.83,63.81,351.29,-894.52
2026-04-03 08:00,SP-IDF-02,4.1,63.56,358.9,-894.77
2026-04-03 09:00,SP-IDF-02,4.03,60.75,365.04,-934.62
2026-04-03 10:00,SP-IDF-02,3.69,58.75,352.68,-888.11
2026-04-03 11:00,SP-IDF-02,3.83,63.22,356.41,-921.01
2026-04-03 12:00,SP-IDF-02,3.17,56.39,340.1,-976.39
2026-04-03 13:00,SP-IDF-02,3.53,56.23,343.95,-960.6
2026-04-03 14:00,SP-IDF-02,2.81,60.62,333.64,-930.97
