timestamp,asset_id,dome_temperature,waste_gas_temp,combustion_air_flow,shell_temperature
2026-04-01 00:00,BFS-01,1269.4,326.28,47547.74,96.77
2026-04-01 01:00,BFS-01,1240.52,326.22,50744.49,91.59
2026-04-01 02:00,BFS-01,1292.03,323.22,50483.29,93.21
2026-04-01 03:00,BFS-01,1300.55,335.43,50759.19,96.62
2026-04-01 04:00,BFS-01,1347.14,336.85,52066.05,100.02
2026-04-01 05:00,BFS-01,1334.01,358.03,52993.18,95.41
2026-04-01 06:00,BFS-01,1303.34,335.87,53472.05,101.67
2026-04-01 07:00,BFS-01,1287.79,339.92,52381.6,97.23
2026-04-01 08:00,BFS-01,1311.33,342.57,54018.69,93.84
2026-04-01 09:00,BFS-01,1313.3,332.66,53684.65,97.49
2026-04-01 10:00,BFS-01,1303.87,333.34,50872.72,93.85
2026-04-01 11:00,BFS-01,1288.31,317.1,51432.81,94.4
2026-04-01 12:00,BFS-01,1261.93,323.19,50729.66,87.74
2026-04-01 13:00,BFS-01,1268.86,329.22,49268.67,86.06
2026-04-01 14:00,BFS-01,1231.52,338.29,48118.22,83.65
2026-04-01 15:00,BFS-01,1235.23,311.32,48376.05,87.39
2026-04-01 16:00,BFS-01,1226.35,305.9,47906.33,84.64
2026-04-01 17:00,BFS-01,1224.17,302.92,49227.12,79.43
2026-04-01 18:00,BFS-01,1242.9,308.63,47161.57,80.68
2026-04-01 19:00,BFS-01,1260.35,319.86,46564.72,81.29
2026-04-01 20:00,BFS-01,1243.97,295.47,48000.09,84.77
2026-04-01 21:00,BFS-01,1227.39,315.05,46650.68,85.69
2026-04-01 22:00,BFS-01,1229.79,296.48,49577.12,88.02
2026-04-01 23:00,BFS-01,1245.15,332.78,49358.44,90.01
2026-04-02 00:00,BFS-01,1257.63,327.49,49864.74,92.24
2026-04-02 01:00,BFS-01,1303.1,326.09,51461.17,89.04
2026-04-02 02:00,BFS-01,1360.13,343.29,52606.34,86.97
2026-04-02 03:00,BFS-01,1336.37,331.75,52346.55,98.3
2026-04-02 04:00,BFS-01,1316.89,348.64,53075.66,97.55
2026-04-02 05:00,BFS-01,1330.94,342.57,52648.88,94.01
2026-04-02 06:00,BFS-01,1279.84,352.51,53773.37,97.39
2026-04-02 07:00,BFS-01,1315.26,338.85,51653.35,104.8
2026-04-02 08:00,BFS-01,1293.66,336.76,52160.7,95.47
2026-04-02 09:00,BFS-01,1288.07,333.78,52119.85,93.9
2026-04-02 10:00,BFS-01,1303.81,333.63,51777.6,97.46
2026-04-02 11:00,BFS-01,1280.52,324.96,52180.6,96.26
2026-04-02 12:00,BFS-01,1275.56,335.07,49237.29,87.87
2026-04-02 13:00,BFS-01,1245.26,315.57,49972.85,87.25
2026-04-02 14:00,BFS-01,1250.4,310.21,47566.18,88.98
2026-04-02 15:00,BFS-01,1239.35,317.96,48236.78,83.53
2026-04-02 16:00,BFS-01,1176.3,315.75,48224.9,83.48
2026-04-02 17:00,BFS-01,1235.89,312.62,49469.22,80.24
2026-04-02 18:00,BFS-01,1243.45,301.29,48537.57,87.25
2026-04-02 19:00,BFS-01,1225.81,297.01,49037.38,82.41
2026-04-02 20:00,BFS-01,1269.33,309.44,47384.41,87.72
2026-04-02 21:00,BFS-01,1252.78,310.23,48588.31,85.64
2026-04-02 22:00,BFS-01,1239.94,313.66,47492.4,83.33
2026-04-02 23:00,BFS-01,1270.81,330.34,49251.34,91.52
2026-04-03 00:00,BFS-01,1303.04,316.87,50878.06,91.73
2026-04-03 01:00,BFS-01,1286.08,330.48,50835.43,87.71
2026-04-03 02:00,BFS-01,1294.72,346.67,50248.74,92.74
2026-04-03 03:00,BFS-01,1312.85,338.44,53374.28,90.95
2026-04-03 04:00,BFS-01,1281.04,337.22,51673.28,95.65
2026-04-03 05:00,BFS-01,1327.72,347.73,53850.87,94.07
2026-04-03 06:00,BFS-01,1342.76,331.42,52688.08,99.7
2026-04-03 07:00,BFS-01,1341.58,350.97,53177.21,95.21
2026-04-03 08:00,BFS-01,1305.53,338.25,53973.88,93.94
2026-04-03 09:00,BFS-01,1337.51,336.22,51932.45,94.85
2026-04-03 10:00,BFS-01,1295.55,327.66,52882.94,91.48
2026-04-03 11:00,BFS-01,1307.3,319.53,50461.58,97.19
2026-04-03 12:00,BFS-01,1302.62,334.56,50447.31,88.35
2026-04-03 13:00,BFS-01,1271.57,312.54,48747.56,93.08
2026-04-03 14:00,BFS-01,1253.66,317.25,49062.02,88.76
2026-04-03 15:00,BFS-01,1274.14,297.0,47971.58,88.92
2026-04-03 16:00,BFS-01,1197.27,321.22,45529.19,81.9
2026-04-03 17:00,BFS-01,1267.5,320.08,48697.26,89.68
2026-04-03 18:00,BFS-01,1230.44,309.83,46019.68,84.44
2026-04-03 19:00,BFS-01,1223.43,316.32,46601.37,82.54
2026-04-03 20:00,BFS-01,1225.22,306.1,47820.04,83.34
2026-04-03 21:00,BFS-01,1263.49,307.54,47918.02,79.85
2026-04-03 22:00,BFS-01,1245.16,309.36,50086.89,88.14
2026-04-03 23:00,BFS-01,1256.34,325.85,50274.33,84.15
2026-04-04 00:00,BFS-01,1270.32,331.13,49148.77,91.66
2026-04-04 01:00,BFS-01,1283.74,333.61,48562.92,95.36
2026-04-04 02:00,BFS-01,1280.21,319.84,50617.06,92.07
2026-04-04 03:00,BFS-01,1305.46,338.19,51524.09,98.4
2026-04-04 04:00,BFS-01,1290.52,335.97,51110.65,97.2
2026-04-04 05:00,BFS-01,1321.74,351.38,53865.12,94.13
2026-04-04 06:00,BFS-01,1322.31,346.51,51090.88,97.09
2026-04-04 07:00,BFS-01,1300.77,355.03,52425.5,92.76
2026-04-04 08:00,BFS-01,1314.74,346.17,52905.69,96.84
2026-04-04 09:00,BFS-01,1272.28,340.53,52695.92,96.67
2026-04-04 10:00,BFS-01,1288.99,330.78,50863.76,90.44
